Label,Link,Brand,Price,Rank,Ingredients,Age,Combinations,Dry,FULL,LIGTH,MEDIUM,NATURAL,NORMAL,OILY,Sensitive
moisturizing-cream-oils-mists,https://www.sephora.com/product/facial-treatment-essence-P375849?icid2=products%20grid:p375849:product,SK-II,179,4.1,#NAME?,15,1,1,0,0,0,0,1,1,1
moisturizing-cream-oils-mists,https://www.sephora.com/product/protini-tm-polypeptide-cream-P427421?icid2=products%20grid:p427421:product,DRUNK ELEPHANT,68,4.4,#NAME?,15,1,1,0,0,0,0,1,1,0
moisturizing-cream-oils-mists,https://www.sephora.com/product/the-water-cream-P418218?icid2=products%20grid:p418218:product,TATCHA,68,4.2,"Japanese Wild Rose: Supports natural circulation, balances skin, and improves the look of pores.
apanese Leopard Lily: Reduces oil production, calms problem skin, and supports natural turnover of the skin.
Tatcha's Signature Hadasei-3: Restores a healthy-looking, youthful radiance with nourishing green tea, rice, and algae.H3Soybean Folic Acid Ferment Extract",25,1,0,0,0,0,0,1,1,1
Moisturiser,https://www.lookfantastic.com/the-ordinary-natural-moisturising-factors-ha-30ml/11396687.html,The Ordinary Natural Moisturising Factors + HA 30ml,65,3.4,"Aqua (Water), Caprylic/Capric Triglyceride, Cetyl Alcohol, Propanediol, Stearyl Alcohol, Glycerin, Sodium Hyaluronate, Arginine, Aspartic Acid, Glycine, Alanine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Glucose, Maltose, Fructose, Trehalose, Sodium PCA, PCA, Sodium Lactate, Urea, Allantoin, Linoleic Acid, Oleic Acid, Phytosteryl Canola Glycerides, Palmitic Acid, Stearic Acid, Lecithin, Triolein, Tocopherol, Carbomer, Isoceteth-20, Polysorbate 60, Sodium Chloride, Citric Acid, Trisodium Ethylenediamine Disuccinate, Pentylene Glycol, Triethanolamine, Sodium Hydroxide, Phenoxyethanol, Chlorphenesin.",15,0,1,1,0,1,0,1,1,0
Moisturiser,https://www.lookfantastic.com/cerave-facial-moisturising-lotion-spf-25-52ml/11798689.html,CeraVe Facial Moisturising Lotion SPF 25 52ml,76,3.6,"Aqua/Water, Homosalate, Glycerin, Octocrylene, Ethylhexyl, Salicylate, Niacinamide, Silica, Butyl Methoxydibenzoylmethane, Dimethicone, Cetearyl Alcohol, PEG-100 Stearate, Glyceryl Stearate, Phenoxyethanol, Stearic Acid, Behentrimonium Methosulfate, Caprylyl Glycol, Palmitic Acid, Ammonium Polyacryloyldimethyl taurate, Xanthan Gum, Disodium Edta, Tocopherol, Sodium Lauroyl Lactylate, Myristic Acid, Sodium Hyaluronate, Ceramide NP, Ceramide AP, Phytosphingosine, Cholesterol, Cerbomer, Ethylhexyglycerin, Ceramide EOP.",15,1,0,1,0,0,0,0,0,0
Moisturiser,https://www.lookfantastic.com/the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-30ml/11363395.html,The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,88,4.2,"Aqua (Water), Sodium Hyaluronate, Sodium Hyaluronate Crosspolymer, Panthenol, Ahnfeltia Concinna Extract, Glycerin, Pentylene Glycol,?˜Propanediol, Polyacrylate Crosspolymer-6, Ppg-26-Buteth-26, Peg-40 Hydrogenated Castor Oil, Trisodium Ethylenediamine Disuccinate,?˜Citric Acid, Ethoxydiglycol, Caprylyl Glycol, Hexylene Glycol, Ethylhexylglycerin, Phenoxyethanol, Chlorphenesin.",20,1,0,1,1,1,1,0,1,1
Moisturiser,https://www.lookfantastic.com/ameliorate-transforming-body-lotion-200ml/11865352.html,AMELIORATE Transforming Body Lotion 200ml,98,5,"Aqua/Water/Eau, Ammonium Lactate, C12-15 Alkyl Benzoate, Glycerin, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Ethylhexyl Palmitate, Cetearyl Alcohol, Glyceryl Stearate, PEG-100 Stearate, Dimethicone, Hydroxyethylcellulose, Phenoxyethanol, Cetearyl Glucoside, Xanthan Gum, Sodium Benzoate, Sodium Stearoyl Glutamate, Tocopheryl Acetate, Fragrance (Parfum), Potassium Sorbate, Pentylene Glycol, Hydrolyzed Milk Protein, Disodium EDTA, Lactic Acid, Serine, Sodium Lactate, Sorbitol, Urea, Linalool, Citronellol, Sodium Chloride, Citrus Aurantium Dulcis (Orange) Oil, Limonene, Coumarin, Juniperus Mexicana (Cedarwood) Oil, Alpha-Isomethyl Ionone, Allantoin, Pelargonium Graveolens (Geranium) Oil, Geraniol.",30,0,1,1,1,0,1,1,0,1
Moisturiser,https://www.lookfantastic.com/cerave-moisturising-cream-454g/11798691.html,CeraVe Moisturising Cream 454g,87,3.8,"Purified Water, Glycerin, Ceteareth-20 and Cetearyl Alcohol, Caprylic/Capric Triglyceride, Behentrimonium Methosulfate, Cetearyl Alcohol, Cetyl Alcohol, Ceramide 3, Ceramide 6-II, Ceramide 1, Hyaluronic Acid, Cholesterol, Petrolatum, Dimethicone, Potassium Phosphate, Dipotassium Phosphate, Sodium Lauroyl Lactylate, Disodium EDTA, Phenoxyethanol, Methylparaben, Propylparaben, Phytosphingosine, Carbomer, Xanthan Gum.",40,0,1,0,1,0,1,0,0,1
Moisturiser,https://www.lookfantastic.com/cerave-moisturising-lotion-473ml/11798695.html,CeraVe Moisturising Lotion 473ml,68,4.4,"Aqua (Water), Glycerin, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Cetyl Alcohol, Dimethicone, Phenoxyethanol, Polysorbate 20, Ceteareth-20, Behentrimonium Methosulfate, Polyglyceryl-3 Diisostearate, Sodium Lauroyl Lactylate, Ethylhexylglycerin, Potassium Phosphate, Disodium Edta, Dipotassium Phosphate, Ceramide NP, Ceramide AP, Phytosphingosine, Cholesterol, Xanthan Gum, Carbomer, Sodium Hyaluronate, Tocopherol, Ceramide EOP.",50,1,0,1,0,1,0,1,1,0
Moisturiser,https://www.lookfantastic.com/cerave-facial-moisturising-lotion-no-spf-52ml/11798688.html,CeraVe Facial Moisturising Lotion No SPF 52ml,89,4.2,"Purified Water, Glycerin, Caprylic/Capric Triglycerides, Niacinamide, Cetearyl Alcohol, Ceramide 3, Ceramide 6-II, Ceramide 1, Phytosphingosine, Hyaluronic Acid, Sodium Hydroxide, Dimethicone, Behentrimonium Methosulfate, Ceteareth-20, Polyglyceryl-3 Diisostearate, Cholesterol, Xanthan Gum, Carbomer, Disodium EDTA, Dipotassium Phosphate, Potassium Phosphate, Sodium Lauroyl Lactylate.",20,1,0,1,0,1,0,0,1,0
